molecule,n_bonds,strategy,init,comm_cutoff,final_energy,energy_drop,converge_step,mean_coverage,mean_acceptance,mean_neighbors
fluoxetine,7,adaptive_density,random,4.0,155.63215895516726,49.64172963969756,69,0.32142857142857145,0.39142857142857146,14.013
fluoxetine,7,adaptive_density,random,7.0,148.44904316637061,56.8248454284942,107,0.3055555555555555,0.4017142857142857,20.0
fluoxetine,7,adaptive_density,zeros,2.5,184.8381765655518,18755015.23151219,19,0.2857142857142857,0.31357142857142856,12.031
fluoxetine,7,adaptive_density,zeros,4.0,189.43387778078937,18755010.635810975,21,0.2777777777777778,0.3128571428571428,15.008
fluoxetine,7,adaptive_density,zeros,7.0,1538.2820417798262,18753661.787646975,33,0.29761904761904756,0.3311428571428571,21.0
fluoxetine,7,adaptive_density,anti,2.5,111.33157785149655,313.0326679636184,36,0.31349206349206354,0.39385714285714285,11.0
fluoxetine,7,adaptive_density,anti,4.0,121.30291840445048,303.0613274106645,35,0.32142857142857145,0.40128571428571425,14.0
fluoxetine,7,adaptive_density,anti,7.0,125.27074801481257,299.0934978003024,35,0.3531746031746032,0.40614285714285714,19.959
fluoxetine,7,gradient_exchange,etkdg,2.5,106.67642340373021,0.8672070450808747,1,0.3888888888888889,0.6331428571428571,11.0
fluoxetine,7,gradient_exchange,etkdg,4.0,98.52543773986415,9.018192708946941,55,0.38492063492063494,0.6221428571428571,14.691
fluoxetine,7,gradient_exchange,etkdg,7.0,98.60027205449387,8.943358394317215,42,0.376984126984127,0.6201428571428572,19.787
fluoxetine,7,gradient_exchange,random,2.5,145.24651829831282,60.02737029655199,111,0.2976190476190476,0.4108571428571429,11.0
fluoxetine,7,gradient_exchange,random,4.0,151.42396028951782,53.84992830534699,93,0.30158730158730157,0.4127142857142857,14.014
fluoxetine,7,gradient_exchange,random,7.0,146.42861628395957,58.845272310905244,237,0.30555555555555564,0.406,20.0
fluoxetine,7,gradient_exchange,zeros,2.5,4911.865297448723,18750288.204391308,5,0.2698412698412698,0.2012857142857143,12.015
fluoxetine,7,gradient_exchange,zeros,4.0,3255.5387367006115,18751944.530952055,7,0.25,0.20242857142857143,15.004
fluoxetine,7,gradient_exchange,zeros,7.0,3924.417731414834,18751275.65195734,7,0.2698412698412698,0.19914285714285715,21.0
fluoxetine,7,gradient_exchange,anti,2.5,110.59685399257592,313.767391822539,9,0.30158730158730157,0.46814285714285714,11.0
fluoxetine,7,gradient_exchange,anti,4.0,111.92128580538406,312.4429600097309,9,0.2936507936507936,0.4715714285714286,14.0
fluoxetine,7,gradient_exchange,anti,7.0,127.13578985375693,297.228455961358,14,0.2777777777777778,0.47328571428571425,19.898
